Nome;Razão social;CPF;CNPJ;Inscrição estadual;E-mail principal;Telefone principal;CEP;UF;Cidade;Endereço;Número;Bairro
LM SOLUÇOES DE TRANSITO LTDA;;;18657198000146;;;;;;;;;
Localiza;;;;;;;;;;;;
LocaWebe;;;;;;;;;;;;
LOJA GENIAL;;;48371069000158;;;;;;;;;
LOJAS SIMONETTI LTDA;;;31743818000128;;;;;;;;;
LOMUS MAQUINAS E EQUIPAMENTOS EIRELI;;;;;;;;;;;;
LONDRIBOR COMERCIO DE PLASTICOS E BORRACHAS LTDA;LONDRIBOR COMERCIO DE PLASTICOS E BORRACHAS LTDA;;52162833000152;9102664709;;4333043770;86025000;PR;Londrina;Rua Guapore;1184;Jardim Palmares
Lopes consultoria industrial;;;;;;;;;;;;
LOTUS - ALDIN DO BRASIL ADITIVOS LTDA;;;10775038000190;;;;88506570;SC;Lages;Rua Oscar L. Fernandes;50;São Paulo
LOTUS CENTRAL DE DIST DE HIGIENICOS LTDA;LOTUS CENTRAL DE DIST DE HIGIENICOS LTDA;;58055343000133;151556814114;;1127234000;08260090;SP;São Paulo;R PROF HASEGAWA;185;COLONIA
LRF DA SILVA MONTAGEM E INSTALAÇAO DE EQUIPAMENTOS LTDA;;;51854946000156;;;;;;;;;
LUAN MATERIAIS DE CONSTRUÇÃO;;;;;;;;;;;;
LUAN MATERIAIS DE CONSTRUCAO SUZANO LTDA;LUAN MATERIAIS DE CONSTRUCAO SUZANO LTDA;;00599385000155;672071967111;;1147484310;08616020;SP;Suzano;R JOSE CARDOSO XAVIER;440;JARDIM CACIQUE
Luciana Cyrillo de Siqueira;;;;;;;;;;;;
LUIZ PEDRO DE OLIVEIRA;;;;;;;;;;;;
LUIZ TADEU MASSONI 02754907858;;;28871391000139;;;;;;;;;
LWARCEL CELULOSE LTDA;LWARCEL CELULOSE LTDA;;53943098000187;416012530113;nfe@lwarcel.com.br;;18680900;SP;Lençóis Paulista;Rodovia Juliano Lorenzetti, Km;;DISTRITO EMPRESARIAL LUIZ TRECENTI
M2 COMERCIO S P P EIRELI;;;;;;;;;;;;
M2EX TRANSPORTES SLU LTDA;;;48007075000120;;;;;;;;;
M2G ENGENHARIA AMBIENTAL LTDA;;;37362087000157;;;;;;;;;
MADEIRA MORAIS;;;24872438000128;;;;;;;;;
MAGALU;;;;;;;;;;;;
MAKRO CONSTRUTORA, TINTAS E ACABAMENTOS LTDA;MAKRO CONSTRUTORA, TINTAS E ACABAMENTOS LTDA;;41256045000109;9088512500;;4236246234;85055380;PR;Foz do Iguaçu;AV. MANOEL RIBAS;4505;CONRADINHO
MANARC COMERCIO E SERVICO LTDA;;;32442211000170;;;;;;;;;
MANBORR BORRACHAS E MANGUEIRAS;;;;;;;;;;;;
Manuchar;;;;;;;;;;;;
MANUCHAR COMERCIO EXTERIOR LTDA;MANUCHAR COMERCIO EXTERIOR LTDA;;86907235000349;253365937;;4833558750;88780000;SC;Imbituba;RODOVIA BR 101, SN;;ALTO ARROIO
MANUCHAR COMÉRCIO EXTERIOR LTDA;MANUCHAR COMÉRCIO EXTERIOR LTDA;;86907235001400;;jessica.souza@manuchar.com.br;33367610;11570000;SP;Cubatão;AVENIDA ENGENHEIRO PLÍNIO DE QUEIRÓZ;;JARDIM SÃO MARCOS
MAPFRE;;;;;;;;;;;;
Marcelo Silveira  - Serralheiro;;28899624828;;;;;;;;;;
MARCOS BORGES DOS SANTOS TRANSPORTES LTDA;;;28999629000106;;;;;;;;;
MARCOS LEON MARIA ALOJAMENTOS LTDA;;;54761827000147;;;;;;;;;
Marcos Lima Pereira-EPP;Marcos Lima Pereira-EPP;;08730771000146;336803904111;;1128438158;07030020;SP;Guarulhos;Rua Joao Cavalari;222;Ponte Grande
MARIA INÊS SANTASOFIA;;01935340883;;;;;;;;;;
Masterseg Consultoria & Segurança do Trabalho.;;;20507906000104;;;;;;;;;
MAX SOARES DE SOUZA;;;;;;;;;;;;
MAYER TRANSPORTES;;;;;;;;;;;;
MCA ADMINISTRAÇÃO E SERVIÇOS IMOBILIARIOS LTDA;;;;;;;;;;;;
MCA Imobiliaria;;;;;;;;;;;;
MEGA COMBUSTAO COMPONENTES INDUSTRIAIS LTDA;MEGA COMBUSTAO COMPONENTES INDUSTRIAIS LTDA;;27980540000135;492928880110;;11959011066;07402295;SP;Arujá;Rua Marina de Lima Santangelo;48;Chacara Sao Jose
MEGA MANUTENÇÃO ELÉTRICA;;;36420788000132;;;;;;;;;
MEGA PRINT MOGI DAS CRUZES;;;31115358000193;;;;;;;;;
Mercado;;;;;;;;;;;;
Mercado Livre;;;;;;;;;;;;
MERCURIUS;;;;;;;;;;;;
MERITO COMERCIO E LTDA ME;;;01582892000149;;;;;;;;;
MERK MOVEIS COMERCIO VAREJISTA DE MOVEIS E DECORACOES LTDA;MERK MOVEIS COMERCIO VAREJISTA DE MOVEIS E DECORACOES LTDA;;55869335000132;263400379;;55996607587;89204001;SC;Joinville;Rua Doutor Joao Colin;1285;CENTRO
METAL PECAS E FERRAMENTAS LTDA 05.810.368/0001-39;METAL PECAS E FERRAMENTAS LTDA 05.810.368/0001-39;;05810368000139;62131947;;;45936000;BA;Mucuri;AVENIDA BRASIL;2;ITABATAN
MHM RADIADORES LTDA;;;09286157000108;;;;;;;;;
Michelle Sulfato;;;;;;;;;;;;
MILAN EQUIPAMENTOS CIENTIFICOS LTDA;MILAN EQUIPAMENTOS CIENTIFICOS LTDA;;75121434000149;1030150305;;4136214366;83402090;PR;Colombo;RUA JOSE BELEM;265;JARDIM CARVALHO
MilleniumEX moto e utilitários;;;;;;;;;;;;
Mix midia;;;;;;;;;;;;
MIX MIDIA LTDA;MIX MIDIA LTDA;;08179984000121;672182086110;;47428426;08674200;SP;Suzano;RUA VINTE E SETE DE OUTUBRO;282;CENTRO
MK QUIMICA DO BRASIL LTDA;;;92315332000507;;;;;;;;;
M&M QUIMICA PARTICIPACOES LTDA;;;45805227000142;;;;;;;;;
M&M QUIMICA REPRESENTACOES LTDA;;;;;;;;;;;;
MM SUL PRESTACAO DE SERVICOS EIRELI - ME;;;;;;;;;;;;
Modal;;;;;;;;;;;;
MOGIACO COMERCIAL LTDA;MOGIACO COMERCIAL LTDA;;03456496000109;454177409110;;1147955880;08735400;SP;Mogi das Cruzes;AV HENRIQUE PERES;1760;VILA BERNADOTTI
MOGI CORES TINTAS E MATERIAIS PARA PINTURA LTDA;MOGI CORES TINTAS E MATERIAIS PARA PINTURA LTDA;;28608002000349;150603650110;;1147951791;08730590;SP;Mogi das Cruzes;AVENIDA HENRIQUE EROLES;878;ALTO IPIRANGA
MOGI CORES TINTAS E MAT. PINTURA LTDA;MOGI CORES TINTAS E MAT. PINTURA LTDA;;28608002000187;454547048113;;1147212402;08740470;SP;Mogi das Cruzes;RUA THULLER;206;JARDIM UNIVERSO
MOGIGLASS ARTIGOS PARA LABORAT;;;;;;;;;;;;
MOGIGLASS ARTIGOS PARA LABORATORIOS LTDA;MOGIGLASS ARTIGOS PARA LABORATORIOS LTDA;;66886052000115;454115004113;;1147234110;08710590;SP;Mogi das Cruzes;RUA FRANCISCO FRANCO;511;CENTRO
MONACO METAIS COMERCIAL LTDA;MONACO METAIS COMERCIAL LTDA;;49393076000113;9098459801;;41998695013;80215184;PR;Curitiba;Rua Chile;1387;Prado Velho
MORAIS MOTORES ELETRICOS EIRELI;;;34719480000167;;;;;;;;;
Motoboy;;;;;;;;;;;;
Movida;;;07976147000160;;;;;;;;;
MP Bombas;;;;;;;;;;;;
MPILHADEIRAS NOBRE COMERCIO;;;;;;;;;;;;
MP Ind. Com. Equipamentos – EIRELI;;;46198188000125;;;;;;;;;
MRT ARQUITETURA;;;;;;;;;;;;
MTC INTERNACIONAL SOLUÇÕES;;;32779684000168;;;;;;;;;
Mtz;;;;;;;;;;;;
MULTICHEMIE IND E COM PRODS QUIMICOS LTDA;MULTICHEMIE IND E COM PRODS QUIMICOS LTDA;;55195747000134;278024647112;;1146139100;06705481;SP;Cotia;RUA TORRE EIFFEL;141;PARQUE RINCAO
MUVS SERVICOS DE TRANSPORTE EI;;;28866702000171;;;;;;;;;
MWT COM ROUPAS ESTAMP LTDA;;;17918683000163;;;;;;;;;
MZK EVENTOS;;;19869176000102;;;;;;;;;
Naim Comercial De Alimentos Eireli;Naim Comercial De Alimentos Eireli;;27839585000194;635977831112;;11983179692;09811100;SP;São Bernardo do Campo;Rua Miosotis;64;Assuncao
NEOBIO COMERCIO DE PRODUTOS PARA LABORATORIOS LTDA;NEOBIO COMERCIO DE PRODUTOS PARA LABORATORIOS LTDA;;08477087000102;224177287117;;1438805999;18608010;SP;Botucatu;Avenida AV JOAO BAPTISTA CARNIETTO;766;JARDIM ITAMARATI
NEO INFO DO BRASIL COMÉRCIO DE SUPRIMENTOS E SERVIÇOS DE INFORMÁTICA LTDA;;;;;;;;;;;;
Neon Comercial Reagentes Analíticos Ltda;;;00327149000341;;;;;;;;;
NERIVALDO EVANGANGELISTA SANTOS;;;;;;;;;;;;
NETLAB EQUIPAMENTOS PARA LABORATORIOS LTDA;NETLAB EQUIPAMENTOS PARA LABORATORIOS LTDA;;17524672000107;142078221119;;1123730040;03072020;SP;São Paulo;RUA LUIS FERREIRA;131;Tatuape
NETZSCH;;;;;;;;;;;;
NETZSCH DO BRASIL IND. COM. LTDA.;NETZSCH DO BRASIL IND. COM. LTDA.;;82749987000106;250005050;;;89107000;SC;Pomerode;RUA HERMANN WEEGE;2383;CENTRO
NEWLABOR PRODUTOS PARA LABORATORIO;NEWLABOR PRODUTOS PARA LABORATORIO;;50699194000133;454948761114;;1147953166;08750540;SP;Mogi das Cruzes;Rua Guilherme George;1834;Jundiapeba
NHEEL QUIMICA LTDA;NHEEL QUIMICA LTDA;;47003579000100;;emerson.narcizo@bauminas.com.br;35228230;13503750;SP;Rio Claro;ROD WASHINGTON LUIZ,KM 176;;JD CENTENARIO
NHL PRO SOUND LTDA;;;12470668000181;;;;;;;;;
Nordeste ultilidade;;;50048176000191;;;;;;;;;
NORTES TRANSP COM E SERV EIRELI;;;17814074000164;;;;;;;;;
NORTES TRANSPORTE COMERCIO E SERVIC;;;17814074000750;;;;;;;;;
Notehelp;;;;;;;;;;;;
NOVA ETICA PRODUTOS E EQUIPAMENTOS CIENTIFICOS LTDA;NOVA ETICA PRODUTOS E EQUIPAMENTOS CIENTIFICOS LTDA;;02063134000187;720009019112;;1141589100;06735182;SP;Vargem Grande Paulista;ESTRADA FRANCISCA MANOEL DE OLIVIERA;500;PORTAO VERMELHO
NOVALIFT TRANSPORTES DE CARGAS E MAQUINAS EM GERAL LTDA;;;02647151000161;;;;;;;;;
NOV@NET;;;14532009000158;;;;;;;;;
Novo Mundo Equips. de Protecao Ltda EPP;;;06116307000139;;;;;;;;;
NOVUS Produtos Eletrônicos Ltda;;;88176995000197;;;;;;;;;
OBRAMAX;;;;;;;;;;;;
Oficina do Espanhol;;;;;;;;;;;;
OKABE;;;;;;;;;;;;
OLIVEIRA MUNIZ MONITORAMENTO E SERVICOS LTDA-;;;42149175000105;;;;;;;;;
OMC FER TRANSPORTE E RECICLAGE;;;;;;;;;;;;
ONPAG SOLUCOES S A;;;;;;;;;;;;
O PONTO DO EPI;;;52833596000104;;;;;;;;;
ORIGINAL VEICULOS S.A;ORIGINAL VEICULOS S.A;;60894136001439;336782109110;;1123778220;07013090;SP;Guarulhos;AV ANTONIO DE SOUZA;736;JD SANTA FRANCISCA
ORLETTI VEICULOS E PECAS LTDA;ORLETTI VEICULOS E PECAS LTDA;;71189278000954;107372541;;7332818000;45827000;BA;Eunápolis;AVE ANTONIO CARLOS MAGALHAES;2065;MOTOR
ORVEL;;;;;;;;;;;;
OTUS SERVIÇOS INDUSTRIAIS LTDA;;;36556366000199;;;;;;;;;
PALLATINUS COMPANY ENGENHARIA LTDA;;;48970861000129;;;;;;;;;
PAPER PERSONALIZADOS;;;;;;;;;;;;
PASSAGEM AEREAS;;;;;;;;;;;;
Passagens aéreas diversas;;;;;;;;;;;;
PAULISTANA ASSESSORIA CONTABIL EIRELI- ME;;;17907796000163;;;;;;;;;
Paulo Henrique Macedo dos Santos;;41634334817;;;;;;;;;;
Paulo Hey;;;;;;;;;;;;
Pedreiro;;;;;;;;;;;;
PEDRO GOMES SILVA FILHO;;;48406198000134;;;;;;;;;
PEREZ MATERIAIS ELETRICOS E FERRAGENS LTDA;;;03260554000116;;;;;;;;;
PERIM COMERCIO DE AUTO PECAS LTDA;PERIM COMERCIO DE AUTO PECAS LTDA;;51195790000904;336544704111;;1124134000;07222040;SP;Guarulhos;RUA CLEMENTINA;45;CIDADE INDUSTRIAL SATELITE DE SAO PAULO
PETROSOL COMERCIO DE TAMBORES;;;12195059000161;;;;;;;;;
PG QUIMICA LTDA;;;15634502000141;;;;;;;;;
PHOENIX CHEMICALS QUIMICA INDL. LTDA;;;01743411000130;;;;;;;;;
Piracicaba;;;62473004000810;;;;;;;;;
PIZZINATTO INDUSTRIA DE METAIS LTDA;PIZZINATTO INDUSTRIA DE METAIS LTDA;;05552129000126;535352487117;;1934378300;13401040;SP;Piracicaba;RUA DA GLORIA;2315;PAULISTA
PLANAM FORROS E DIVISORIAS LTDA;PLANAM FORROS E DIVISORIAS LTDA;;67859025000116;113482445119;;1120904000;03602080;SP;São Paulo;AV. MIGUEL CATARINO;100;TATUAPE
Plásticos Cartie Industria e Comércio Ltda;;;05299685000132;;;;;;;;;
Plastwest ind de plást. LTDA;;;;;;;;;;;;
PL SERVICOS COMERCIAIS E APOIO ADMINISTRATIVO LTDA;;;51166489000107;;;;;;;;;
POLICIA CIVIL;;;04584297000130;;;;;;;;;
Policlinica;;;;;;;;;;;;
POLYPUS DISTRIBUIDORA LTDA;POLYPUS DISTRIBUIDORA LTDA;;57342071000190;150903413117;;19998098598;13026002;SP;Campinas;R URUGUAIANA;1440;BOSQUE
PORTO FELIZ IND E COM DE PAP E PAPELÃO LTDA;PORTO FELIZ IND E COM DE PAP E PAPELÃO LTDA;;50334614000340;554086895113;papel@centraldopapel.com.br;15997840906;18540000;SP;Porto Feliz;Rua Anita Garibaldi;1081;cangueira
PORTO SEGURO;;;;;;;;;;;;
POSTAL COMERCIO REPRESENTAÇÕES;;;07265597000145;;;;;;;;;
POSTO DE MOLAS;;;27890848000190;;;;;;;;;
POSTO SEGURO II - DERIVADOS DE PETROLEO LTDA - FILIAL 02;POSTO SEGURO II - DERIVADOS DE PETROLEO LTDA - FILIAL 02;;12125475000274;117355837;;;45900000;BA;Mucuri;ROD BR 101;SN;ITABATA
Pousada Coqueiral - ARACRUZ;;;10417545000151;;;;;;;;;
Pousada e Centro Esportivo Verde do Sonho LTDA;;;;;;;;;;;;
POUSADA HEY LTDA - ME;;;;;;;;;;;;
POUSADA RIO MUCURI;;;40542664000105;;;;;;;;;
POWER BEAR DO BRASIL - EQUIPAMENTOS PARA GESTAO DE RESIDUO;POWER BEAR DO BRASIL - EQUIPAMENTOS PARA GESTAO DE RESIDUO;;22627035000198;669907330112;;1532182562;18086000;SP;Sorocaba;Avenida Comendador Camillo Julio;1930;Jardim Ibiti do Paco
P.Q.A. PRODUTOS QUIMICOS ARACRUZ S/A;P.Q.A. PRODUTOS QUIMICOS ARACRUZ S/A;;03391001000798;140400144116;;1143238365;04582000;SP;São Paulo;RUA ALVARO RODRIGUES;182;VILA CORDEIRO
PQ PROFENI QUÍMICA;;;;;;;;;;;;
Prefeitura Municipal de Suzano;;;46523056000121;;;;;;;;;
Prime Lacres;;;;;;;;;;;;
PRODUCTOS QUIMICOS PANAMERICANOS S.A;;;;;;;;;;;;
PROJESAN SANEAMENTO AMBIENTAL LTDA - SP;PROJESAN SANEAMENTO AMBIENTAL LTDA - SP;;80696479000262;253066693113;;4737033000;13369899;SP;Capivari;RODOVIA DO ACUCAR;SN;CARACA
PROJET COMP COMERCIO E MANUTENCAO LTDA;PROJET COMP COMERCIO E MANUTENCAO LTDA;;50935462000179;672641815113;;1147524920;08694180;SP;Suzano;Rua Bandeirantes;1118;Jardim Revista
PROLAB MATERIAIS;;;52078276000196;;;;;;;;;
ProMinent Brasil Ltda.;ProMinent Brasil Ltda.;;38875381000125;635205573110;;1141760722;09672070;SP;São Bernardo do Campo;Rua Alfredo Dumont Villares;115;(Rua sem Saida) Taboao
PSA Transportadora;;;;;;;;;;;;
QUALITY LAVANDERIA;;;;;;;;;;;;
Quimesp Química Ltda;;;53393690000152;;;;;;;;;
QUIMIPLAX INDUSTRIA E COMERCIO DE PRODUTOS LTDA;QUIMIPLAX INDUSTRIA E COMERCIO DE PRODUTOS LTDA;;59280903000205;157521998111;;1143711206;03322002;SP;São Paulo;Rua Azevedo Soares;2657;Vila Gomes Cardim
QUIMITRANS LOGISTICA & TRANSPORTES LTD;;;;;;;;;;;;
R1 PARTICIPAÇÕES;;;;;;;;;;;;
R2E NETWORK COMERCIO E SERVIÇO EIRELI - R2E DO BRA;;;;;;;;;;;;
RANGEL MACEDO & ANDRADE LTDA;;;39959253000122;;;;;;;;;
RDV;;;;;;;;;;;;
RECEITA FEDERAL;;;;;;;;;;;;
REDEBRAS IND. E COM. DE PLAST. LTDA;;;66618638000107;;;;;;;;;
REDIVALDO TENORIO DA SILVA;;;33295921000188;;;;;;;;;
Registro de marcas;;;;;;;;;;;;
REI DO CELULAR;;;32816289000108;;;;;;;;;
REI DO OLEO SUZANO FILTROS E LUBRIFICANTES EIRELI;REI DO OLEO SUZANO FILTROS E LUBRIFICANTES EIRELI;;28899240000199;672370574111;;1147317654;08694000;SP;Suzano;AV FRANCISCO MARENGO;1630;JARDIM REVISTA
REIS E REIS INDUSTRIA E COMERCIO LTDA;REIS E REIS INDUSTRIA E COMERCIO LTDA;;00320025000172;645222053111;;1239669977;12238574;SP;São José dos Campos;RUA WILTON REIS COSTA, 220;.;ELDORADO CENTRO IND.E EMP.
REIS OFFICE PRODUCTS COMERCIAL LTDA;;;53617676000519;;;;;;;;;
Renato;;;;;;;;;;;;
Renato Ferez;;;;;;;;;;;;
Renato IP;;;;;;;;;;;;
RENOVIAS CONCESSIONARIA SA;;;;;;;;;;;;
Rescisão;;;;;;;;;;;;
RESTAURANTE ARTE DE COMIDA;;;05704977000103;;;;;;;;;
RESULT CONSULTORIA FINANCEIRA LTDA;;;42624323000104;;;;;;;;;
RETAPI INDÚSTRIA E COMÉRCIO - EIRELLI;;;;;;;;;;;;
REVEST BRASIL INDUSTRIA QUIMICA LTDA;REVEST BRASIL INDUSTRIA QUIMICA LTDA;;25454087000106;672335760116;;11947301976;08686000;SP;Suzano;AV JORGE BEI MALUF;843;VILA THEODORO
REYGAS COMERCIO DE GAS E TRANSPORTADORA LTDA;REYGAS COMERCIO DE GAS E TRANSPORTADORA LTDA;;34685582000109;160886907;;7388478718;45821190;BA;Eunápolis;Avenida Nordeste;435;Centauro
Robert Iury Ferreira santos;;;;;;;;;;;;
ROBSON VALENTIM DA SILVA;;;38173612000159;;;;;;;;;
ROCHA FORTE FERTILIZANTES LTDA;ROCHA FORTE FERTILIZANTES LTDA;;33180034000164;;luiyi.trivino@ambipar.com;996025284;84350000;PR;Ortigueira;ROD DO CAFE;633;VILA GOMES
RODONAVES TRANSPORTES;;;;;;;;;;;;
RODOTRUCK AUTO PECAS LTDA;;;44119877000171;;;;;;;;;
RODRIGO MANOEL NUNES REFORMAS;;;;;;;;;;;;
RODRIGUES AR CONDICIONADO E CLIMATIZACAO;RODRIGUES AR CONDICIONADO E CLIMATIZACAO;;23717474000154;0026647050094;;1147480244;37655000;MG;Itapeva;AVENIDA LEONARDO ROSSI;637;CENTRO
Rogenilson;;;;;;;;;;;;
Ronaldo Aparecido de Andrade;;34287837860;;;;;;;;;;
Ronaldo Ramos da Silva;;44233866829;;;;;;;;;;
ROSARIO QUIMICA;;;05349872000183;;;;;;;;;
ROSARIO QUIMICA IND E COM LTDA;ROSARIO QUIMICA IND E COM LTDA;;05349872000264;9115659518;;22181155;80020320;PR;Curitiba;"RUA MARECHAL DEODORO,51-CJ 808B;COND WENCESLAU GLASER ED";99;CENTRO
Rottotanques;;;;;;;;;;;;
ROTTOTANQUES BRASIL INDUSTRIA E COMERCIO DE PLASTICOS LTDA;ROTTOTANQUES BRASIL INDUSTRIA E COMERCIO DE PLASTICOS LTDA;;29205487000120;331036844114;;1125007881;08900000;SP;Guararema;EST MUNICIPAL JULIO LERARIO;224;INDUSTRIAL
RPI COMUNICACAO VISUAL;;;29718076000139;;;;;;;;;
R. REFRIGERACAO LTDA;R. REFRIGERACAO LTDA;;11885036000116;672219635118;;1147480244;08675000;SP;Suzano;RUA BARUEL;1091;CENTRO
RR MOTORES;;;11138346000177;;;;;;;;;
R. SANTOS IMOVEIS E ADMINISTRACAO LTDA;;;;;;;;;;;;
R SANTOS IMOVEIS E ADMINISTRAÇÃO LTDA;;;;;;;;;;;;
RSC SERVIÇO DE ENGENHARIA E REPRESENTAÇÃO COMERCIA;RSC SERVIÇO DE ENGENHARIA E REPRESENTAÇÃO COMERCIA;;23747133000121;177372525117;REGINALDO@GURUDAENGENHARIA.COM;11940142914;16015110;SP;Araçatuba;RUA MAJOR MENDONÇA;402;ROSELE
Rumo Química Importadora e Distribuidora Ltda;;;07297789000133;;;;;;;;;
Sabesp;;;;;;;;;;;;
SABOR GRILL;;;08790308000190;;;;;;;;;
Safra;;;;;;;;;;;;
SAINT-GOBAIN DISTRIBUICAO BRASIL LT;SAINT-GOBAIN DISTRIBUICAO BRASIL LT;;03840986005084;336911975110;;1140042444;07034010;SP;Guarulhos;RODOVIA PRESIDENTE DUTRA  KM224,82;SN;VILA AUGUSTA
SAINT-GOBAIN DISTRIBUICAO BRASIL LT;SAINT-GOBAIN DISTRIBUICAO BRASIL LT;;03840986001259;336767146114;;1140042444;07112900;SP;Guarulhos;AV. PRES TANCREDO DE ALMEIDA NEVES;1261;BOM JESUS
SAINT-GOBAIN DISTRIBUICAO BRASIL LT;SAINT-GOBAIN DISTRIBUICAO BRASIL LT;;03840986001097;116047703117;;1140042444;05034000;SP;São Paulo;AV. PRES CASTELO BRANCO;6201;AGUA BRANCA
Salarios;;;;;;;;;;;;
SALES EQUIP. E PROD. HIG. PROF. LTDA.;SALES EQUIP. E PROD. HIG. PROF. LTDA.;;10290557000168;148264300110;;1127234000;08260090;SP;São Paulo;R. PROF. HASEGAWA;250;COLONIA
SALES IND. COM. DE MAQUINAS LTDA.;SALES IND. COM. DE MAQUINAS LTDA.;;66826918000100;113252166117;;1127234000;08260090;SP;São Paulo;PROF. HASEGAWA;679;COLONIA
SALM PRODUTOS PARA NUTRICAO ANIMAL LTDA;;;49310327000159;;;;;;;;;
SALOMÃO SOUZA SANTANA;;;;;;;;;;;;
SA Manutenção de maquinas e equipamentos EIRELI;;;32110144000197;;;;;;;;;
Samuel;;;;;;;;;;;;
SAN REMO PIZZARIA;;;30628811000100;;;;;;;;;
SANTANA LOCAÇÕES MUNK E TRANSPORTES;;;39467280000188;;;;;;;;;
SANTANDER;;;;;;;;;;;;
Sao Jose EPI Ltda;Sao Jose EPI Ltda;;41579701000104;125545039115;;;12238170;SP;São José dos Campos;Rua Caravelas;610;Jardim Vale do Sol
SAO JOSE EPI LTDA;;;;;;;;;;;;
Sapore;;;;;;;;;;;;
SAPORE S.A.;SAPORE S.A.;;67945071000138;795359610111;;1937384000;13049900;SP;Campinas;AVENIDA ANTONIO ARTIOLI, 570;;SWISS PARK
SCHUTZ VASITEX INDÚSTRIA DE EMBALAGENS LTDA;;;;;;;;;;;;
SCIENTECH AMBIENTAL INDUSTRIA E COMERCIO - LTDA;SCIENTECH AMBIENTAL INDUSTRIA E COMERCIO - LTDA;;73181646000196;113921420112;;1125423305;03806000;SP;São Paulo;Avenida Paranagua;66;Ermelino Matarazzo
Scientech® AMBIENTAL INDÚSTRIA E COMÉRCIO LTDA.;;;;;;;;;;;;
Segurança do trabalho;;;;;;;;;;;;
SEGURANCA TOTAL - EPI IP;;;05999074000105;;;;;;;;;
SEGURANCA TOTAL EPIS LTDA;SEGURANCA TOTAL EPIS LTDA;;39268527000137;455286363118;;;13843006;SP;Mogi Guaçu;TOME DE SOUZA;24;VILA PARAISO
Seguros de Veículos;;;;;;;;;;;;
Senai;;;;;;;;;;;;
SENGES PAPEL E CELULOSE;SENGES PAPEL E CELULOSE;;43014521000704;;nfe@sengespapel.com.br;35678600;84220000;PR;Sengés;RUA LUIZ JOSE SGUARIO;127;CENTRO
SENSYM INDUSTRIA COMERCIO E SERVICOS ELETRONICOS LTDA EIRELI;SENSYM INDUSTRIA COMERCIO E SERVICOS ELETRONICOS LTDA EIRELI;;18466006000114;795390730118;;1932387780;13082050;SP;Campinas;RUA PEDRO STANCATO;350;CAMPO DOS AMARAIS
SERASA;;;;;;;;;;;;
SERGIO DOMINGOS ME;;;03024667000112;;;;;;;;;
Serralheiro;;;;;;;;;;;;
SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL;;;03774819000102;;;;;;;;;
SEW-EURODRIVE BRASIL LTDA;;;50981018001757;;;;;;;;;
SFC ENGENHARIA LTDA;;;25248156000117;;;;;;;;;
SHANGRI-LA SERVICOS HOTELEIROS LTDA;;;40584054000166;;;;;;;;;
SHERATON HOTELARIA;;;08805504000190;;;;;;;;;
Siderquimica;;;;;;;;;;;;
SIDERQUIMICA IND. E COM. DE PRODS. QUIMICOS S/A;SIDERQUIMICA IND. E COM. DE PRODS. QUIMICOS S/A;;73586976000161;1050744090;;4121053838;83090360;PR;São José dos Pinhais;RODOVIA BR-376;22591;SAO MARCOS
SIDERQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S/A;SIDERQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S/A;;73586976000161;1050744090;gislene@siderquimica.com.br;4121016206;83015000;PR;São José dos Pinhais;RODOVIA BR-376;22591;OURO FINO
SIENSIE;;;13672812000125;;;;;;;;;
SIGMA ALDRICH BRASIL LTDA;SIGMA ALDRICH BRASIL LTDA;;68337658000127;241212031110;;1121708484;07790330;SP;Cajamar;VIA DE ACESSO SUL, KM 30, ROD ANHANGUERA;KM29,5;POLVILHO   -
SIGMA Gestão Ambiental;;;;;;;;;;;;
SILVANA MIRANDA RODRIGUES;;;;;;;;;;;;
SIND DAS INDS P CEL P MAD PAP ART DE P PAPELAO EST DO P;;;76694181000165;;;;;;;;;
Sindilojas - Convenio;;;;;;;;;;;;
SNF;;;;;;;;;;;;
SNF BRASIL COMERCIAL QUIMICA LTDA;SNF BRASIL COMERCIAL QUIMICA LTDA;;00934286000182;336493037110;;551123034290;07251280;SP;Guarulhos;ESTRADA BONSUCESSO ITAQUAQUECETUBA;80;VILA MARIA LOURDES
SODEXO;;;;;;;;;;;;
SODEXO PASS DO BRASIL SERV. E COM. S.A;;;69034668000156;;;;;;;;;
Solução química - MARCELO REGIS DA SILVA ZAMBOTTO - EPP;;;17294251000129;;;;;;;;;
SOLUTECH;;;03495513000109;;;;;;;;;
SOS Mangueiras & Conexões Ltda - EPP - SOS Mangueiras;;;14001527000145;;;;;;;;;
SP METAL IND MET LTDA;;;;;;;;;;;;
STILO BORRACHAS E PLAST LTDA;;;;;;;;;;;;
SUALL INDUSTRIA E COMERCIO LTD;;;60858131000136;;;;;;;;;
SUL AMERICA;;;;;;;;;;;;
SULMED MEDICINA E SEGURANCA DO;;;40656069000192;;;;;;;;;
SULYNDER SOLUCOES INDUSTRIAIS LTDA;;;61382604000134;;;;;;;;;
SUPERMERCADO RIMAR LTDA;;;;;;;;;;;;
SUZANBOMBAS COMERCIO DE BOMBAS;;;39414767000100;;;;;;;;;
Suzan Cooper;;;96327150000183;;;;;;;;;
Suzanil;;;;;;;;;;;;
SUZANIL EPI;;;;;;;;;;;;
